emotion_name,review
fear,Fake product milne ka darr rehta hai
shame,"App me galti se review post ho gaya, embarrassing moment"
neutral,Bas thoda better ho sakta tha
joy,Service ne dil jeet liya
surprise,"Delivery boy ne polite behave kiya, surprise mila"
fear,Mujhe laga product duplicate hoga
shame,Review likhne me bhi sharam aa rahi hai
neutral,Mujhe koi issue nahi hua
disgust,Mujhe lagta hai ye product kisi ne pehle use kiya tha
neutral,Product thik thak tha
neutral,Kuch khaas nahi tha
anger,"Refund nahi mila, bohot gussa aaya"
sadness,Mera paisa waste gaya
surprise,"Delivery boy ne polite behave kiya, surprise mila"
surprise,App ka design dekh kar impress hua
surprise,"Packaging bohot acchi thi, socha nahi tha"
disgust,Mujhe vomit jaisa feel hua product dekh kar
shame,Itna cheap product order karke sharm aayi
neutral,Product thik thak tha
sadness,Mujhe is purchase ka regret hai
surprise,Itni kam price me itna acha product!
fear,Card details share karne me hesitation thi
joy,"Mujhe discount mil gaya, mast laga"
shame,Itna cheap product order karke sharm aayi
disgust,Product dekh kar ghin aayi
anger,Packaging kharab thi
anger,Seller ne galat product bheja
surprise,App ka design dekh kar impress hua
fear,Delivery boy se thoda dar laga
anger,"Delivery bahut late aayi, ghussa aa gaya"
fear,Mujhe fraud hone ka doubt tha
surprise,App ka design dekh kar impress hua
anger,Seller ne galat product bheja
neutral,Delivery time par hui
neutral,Overall okay lagta hai
sadness,Product photo jaisa nahi tha
sadness,"Refund nahi mila, bura laga"
joy,"Mujhe discount mil gaya, mast laga"
surprise,"Delivery boy ne polite behave kiya, surprise mila"
shame,Mujhe laga maine galat decision liya
shame,Customer care ko call karte hue awkward tha
fear,Mujhe fraud hone ka doubt tha
joy,Itna acha product expect nahi kiya tha
joy,Customer care helpful tha
joy,"Product bahut accha tha, mujhe pasand aaya"
sadness,Mera paisa waste gaya
sadness,"Refund nahi mila, bura laga"
disgust,Product dekh kar ghin aayi
neutral,Overall okay lagta hai
neutral,Service normal thi
neutral,Na zyada acha na bura
disgust,Customer care ka behavior disgusting tha
disgust,"Quality itni bekaar thi, disgusting laga"
sadness,Bahut disappoint hua is order se
fear,Bohot risky laga pehli baar order karte hue
shame,Mujhe lagta hai ye product lene ka decision stupid tha
neutral,Product thik thak tha
neutral,Bas thoda better ho sakta tha
anger,Packaging kharab thi
joy,"Delivery time par hui, dil khush ho gaya"
disgust,Customer care ka behavior disgusting tha
shame,"App me galti se review post ho gaya, embarrassing moment"
surprise,Review ke hisab se zyada acha nikla
disgust,"Food item stale tha, bilkul bakwas"
joy,Packaging dekh kar khushi hui
surprise,Review ke hisab se zyada acha nikla
neutral,Bas thoda better ho sakta tha
shame,"Friends ke saamne product fail ho gaya, bura laga"
shame,Ye product use karte hue embarrass feel hua
surprise,"Itna jaldi deliver hoga, expect nahi kiya tha"
surprise,Product quality dekh kar surprise hua
joy,"Mujhe discount mil gaya, mast laga"
shame,Review likhne me bhi sharam aa rahi hai
joy,"Mujhe discount mil gaya, mast laga"
disgust,Customer care ka behavior disgusting tha
shame,Review likhne me bhi sharam aa rahi hai
fear,Bohot risky laga pehli baar order karte hue
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
sadness,"Bahut wait karna pada, phir bhi cancel ho gaya"
joy,"Bohot acchi quality hai, recommend karunga"
fear,Mujhe laga product duplicate hoga
joy,"Product bahut accha tha, mujhe pasand aaya"
